,SMILES,hit_inh,hit_kill
126,[H][C@@]12CC(=O)C(=CC)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C |t:20|,0,0
127,C1Cc2[nH]nc(-c3nn[nH]n3)c2C1,0,0
128,"[H][C@]12C[C@H]3C[C@]([H])(C[C@]3(C1)c1nc3n(CCCO)c(=O)n(CCCC)c(=O)c3[nH]1)C2 |r,THB:9:1:4:7.8|",0,0
129,OC(=O)\C=C\c1ccc(O)c(O)c1,0,0
130,Cc1nccn1Cc1ccccn1,0,0
131,O=C(CSc1nc2CCSc2c(=O)n1-c1ccccc1)Nc1ccc(cn1)-c1ccccc1,0,0
132,CCCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,0,0
133,FC(F)(F)c1cc(NC(=S)Nc2ccc(Br)cc2-c2nn[nH]n2)cc(c1)C(F)(F)F,0,0
134,Oc1ccccc1C(=O)\C=C\N1C[C@H]2C[C@@H]1CN2c1ccccn1,0,0
135,Cc1sc(C)c2c1CCC=C2c1cnc[nH]1 |c:10|,0,0
136,NC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(N)=N)cc1,0,0
137,Cc1cc(nn2cnnc12)N1CCCCC1,0,0
138,CN1CCN(CC1)c1ccc(cc1NC(=O)c1c[nH]c(=O)cc1C(F)(F)F)-c1cccc(CN2CCOCC2)c1,0,0
139,ONC(=O)CCCCCN1C(=O)c2cccc3cccc(C1=O)c23,0,0
140,CN(C)CCCN1c2ccccc2Sc2ccc(cc12)C(C)=O,0,0
141,C[C@H](NC(=O)c1ccc2n(Cc3ccc(cc3)-c3ccccc3C(O)=O)c(C)c(C)c2c1)c1ccc(cc1)[N+]([O-])=O,0,0
142,CC(C)(C)NC[C@@H](O)COc1cc(Cl)ccc1Cl |&1:6|,0,0
143,CCN(CC)CC(=O)Nc1c(C)cccc1C,0,0
144,CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1,0,0
145,"C(C1=NCCN1)C1=Cc2ccccc2CC1 |t:1,7|",0,0
146,C[C@H](NC(=O)[C@@H](O)c1cc(F)cc(F)c1)C(=O)N[C@H]1c2ccccc2-c2ccccc2N(C)C1=O,0,0
147,"O[C@H]1CN[C@@H](C1)C(O)=O |&1:1,&2:4,r|",0,0
148,CN(CCN1CCCC1)CCc1ccc(Cl)c(Cl)c1,0,0
149,"CSC[C@H]1CN(\N=C\c2ccc(o2)[N+]([O-])=O)C(=O)O1 |&1:3,r|",1,0
150,Fc1ccc(cc1)-n1cc(C2CCN(CCN3CCNC3=O)CC2)c2cc(Cl)ccc12,0,0
151,CCn1cc(C(O)=O)c(=O)c2cc(F)c(cc12)N1CCN(C)CC1,1,0
152,C[N+]1(C)CCC(CC1)=C(c1ccccc1)c1ccccc1,0,0
153,"CC[C@H](Oc1ccc(Cl)cc1)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)N2C |&1:14,16,19,&2:2,r,TLB:22:21:17.18:14.15.20|",0,0
154,CC(C)c1cc2CC[C@H]3[C@@](C)(CCC[C@]3(C)c2cc1S(O)(=O)=O)C(O)=O,0,0
155,COc1ccc2cc(CCC(C)=O)ccc2c1,0,0
156,CCCCCCN(CCCCCC)C(=O)Cc1c([nH]c2ccccc12)-c1ccc(F)cc1,0,0
157,Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc12,0,0
158,"C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC=C |c:2,4,10|",0,0
159,"CCCc1c(OC[C@@H](O)COc2ccc3c(oc(cc3=O)C(O)=O)c2CCC)ccc(C(C)=O)c1O |&1:7,r|",0,0
160,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ncc2c(O)ncnc12,0,0
161,C(N1CCN(CC1)c1ccccn1)c1nc2ccccc2[nH]1,0,0
162,CCN1C(C)(C)CC(CC1(C)C)Oc1ccc(nc1)C(=O)Nc1ccc(NC(=O)Nc2cc(on2)C(C)(C)C)cc1,0,0
163,CC[C@H]1[C@@H](O)[C@H]2[C@@H]3CC[C@H]([C@H](C)CCC(O)=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CC[C@@H](O)C[C@@H]12,0,0
164,Cc1ccc(cc1)N(CC1=NCCN1)c1cccc(O)c1 |t:10|,0,0
165,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,0,0
166,CN[C@@H](C)[C@H](O)c1ccccc1,0,0
167,OC1CN(CCCOCCc2ccc3sccc3c2)C1,0,0
168,COc1cccc(NC(=O)\C=C\c2ccc(Cl)cc2)c1,0,0
169,COc1cc(C=O)c(cc1OC)[N+]([O-])=O,0,0
170,CC(C)Oc1ccc(Cc2ccc(NC3=NCCN3)cc2)cc1 |t:14|,0,0
